time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2600000000000007,-0.0334375044722,-0.134117818068,11.6399301248,6.20531136255,0.00147590706182,0.0,-0.0590742204046,-0.413507280473,2.72384509447,-0.0748426851712,-0.0192228965838,0.0,465.1477356541654,465.8864941692493,463.9659068570397,465.699719869757
1.3200000000000007,-0.0370087690129,-0.160595128652,11.8068265227,6.20144885521,0.000218198960906,0.0,-0.0598418753913,-0.469479126496,2.83904150183,-0.0490097337856,-0.024688179782,0.0,449.18788129721713,448.74446893279344,449.09887653022,451.18608224150336
1.3800000000000008,-0.0405984206479,-0.190334024222,11.9785240587,6.19873827574,6.28149535532,0.0,-0.059659755627,-0.522075366015,2.88406194123,-0.0384423119631,-0.0524498235496,0.0,428.1074572233627,425.738114747741,428.37874688869755,429.27510905111126
1.4400000000000008,-0.0441344341885,-0.223291095802,12.1530606052,6.19652779636,6.27821459561,0.0,-0.0579033903682,-0.576700091892,2.93366373128,-0.0338182617038,-0.0595574367512,0.0,429.720584085074,429.1155193440068,429.7735278983161,430.1645977429151
1.5000000000000009,-0.04748434542,-0.259825342273,12.3335175916,6.19454651952,6.27497630805,0.0,-0.0533921993754,-0.641297240689,3.0811434503,-0.0314734481295,-0.0446542653932,0.0,459.8866105053115,461.0636647300106,461.04257759327027,461.2274226914543
1.560000000000001,-0.0504905849898,-0.300325027374,12.5233271943,6.19217278729,6.27223719009,0.0,-0.0465169540266,-0.708883750812,3.24534694752,-0.0652281395319,-0.0477253254738,0.0,466.2429037270921,466.0017889600837,468.66611451806114,466.03414606592344
1.620000000000001,-0.0530649026352,-0.34459549285,12.7192093922,6.18903613644,6.26931039202,0.0,-0.0390252210059,-0.767113477668,3.28389601247,-0.0343367822995,-0.0509765954847,0.0,428.2998369207467,428.02164721237455,427.4914894774181,430.1135835856891
1.680000000000001,-0.0550731057863,-0.392813647457,12.9216040524,6.1868307773,6.26652676338,0.0,-0.0275912957548,-0.840356403155,3.46201441277,-0.0420947428156,-0.0385232770591,0.0,471.51993370583074,472.4798646185674,472.8223774199211,472.2237570004088
1.740000000000001,-0.0563409779088,-0.445438884876,13.1342573637,6.18495700928,6.26413903803,0.0,-0.0144174150767,-0.91401447563,3.62586521829,-0.0154282891709,-0.0424687580189,0.0,469.4216778803269,469.11468367498435,468.0849784117922,470.15525400772174
1.8000000000000012,-0.0567426067558,-0.502629655109,13.3578283991,6.18437165274,6.26211023872,0.0,0.00128029043749,-0.992375507149,3.82580747473,-0.000314692540245,-0.0205201167866,0.0,479.5114181762484,481.17549019577,481.0439806759951,482.18725280133503
1.8600000000000012,-0.0562884970196,-0.56393611112,13.5873519769,6.18422388684,6.2609108795,0.0,0.0139628919143,-1.05119258395,3.82495639863,-0.00714837340997,-0.0189484060092,0.0,419.788904755039,419.92528135156704,420.1325901669139,419.53967043947785
